train_index,label
15,0
17,0
24,0
104,0
111,0
119,0
127,0
128,0
187,0
191,0
217,0
218,0
233,0
234,0
283,0
300,0
304,0
346,0
349,0
359,0
388,0
391,0
441,0
443,0
474,0
479,0
513,0
555,0
597,0
620,0
630,0
665,0
675,0
689,0
773,0
822,0
844,0
858,0
893,0
900,0
915,0
928,0
929,0
944,0
997,0
1001,0
1078,0
1079,0
1104,0
1107,0
1116,0
1182,0
1185,0
1203,0
1228,0
1273,0
1282,0
1328,0
1359,0
1452,0
1468,0
1480,0
1486,0
1503,0
1515,0
1529,0
1568,0
1573,0
1579,0
1604,0
1625,0
1639,0
1675,0
1715,0
1716,0
1717,0
1734,0
1766,0
1781,0
1812,0
1855,0
1883,0
1884,0
1908,0
1914,0
1945,0
1954,0
1965,0
1980,0
2014,0
2056,0
2098,0
2145,0
2182,0
2200,0
2211,0
2217,0
2244,0
2267,0
2278,0
2280,0
2370,0
2390,0
2404,0
2485,0
2490,0
2514,0
2526,0
2569,0
2598,0
2698,0
2707,0
2753,0
2776,0
2787,0
2798,0
2823,0
2840,0
2860,0
2890,0
2898,0
2968,0
3012,0
3015,0
3098,0
3109,0
3124,0
3166,0
3175,0
3208,0
3209,0
3263,0
3276,0
3300,0
3307,0
3352,0
3372,0
3373,0
3376,0
3377,0
3494,0
3556,0
3576,0
3597,0
3611,0
3680,0
3685,0
3718,0
3729,0
3733,0
3740,0
3782,0
3867,0
3888,0
3898,0
3915,0
3933,0
3942,0
4005,0
4009,0
4023,0
4146,0
4251,0
4277,0
4352,0
4356,0
4396,0
4404,0
4435,0
4436,0
4450,0
4479,0
4483,0
4486,0
4548,0
4612,0

